A
be compelled to
be compelled to do
be composed of
be comprehensive of
be concerned about
be concerned with
be confined to
be confronted with difficulties
be connected with
be considerate of
be considerate of one's feelings
be consistent with
be critical of
be deceived in sb.
be destructive of
be detached from
be discontented with sb.
be doomed to
be easy of access
be economical of
be economical with
be embedded in
be endowed with
be engaged in doing sth.
be engaged to do sth.
be engaged to sb.
be enthusiastic about
be equivalent to
be familiar with
be fed up with
be filled with
be flush with
be flushed with
be friends with
be full of
be geared to
be hard of access
be hold captive
be identical to
be identical with
be immune from taxation
be immune to the disease
be in awe of
be in circulation
be in debt
be in for
be in receipt of
be in the vein for
be indicative of
be indifferent to
be indignant about sth.
be indignant at sth.
be indignant over sth.
be indignant with sb.
be inferior to
be instrumental in doing sth.
be intent on
be likely to
be located
be low of comprehension
be mad about
be made up of
be named after
be obliged to do sth.
be obliged to sb.
be obliged to sb. for sth.
be off the scent
be on circuit
be on oath
be one's inferior in
be overcome with liquor
be particular about
be particular to
be peculiar to
be prone to do sth.
be prone to sth.
be ready
be reckless of expenditure
be reckless of the consequences
be related with
be relevant to
be responsible for
be restricted to doing sth.
be restricted to sth.
be satisfied of
be satisfied with
be saturated with
be sb.'s inferior in
be situated in
be subordinate to
be taken as
be taken captive
be to blame
be traced to
be unanimous in
be under obligations to
be under pledge of secrecy
be under the impression that
be used to
be used to doing sth.
be vulnerable to
be weary of talking
be weary with talking
bear down
bear down on
bear in mind
bear on
bear out
bear testimony to
bear up
bear upon
bear with
beat down
beat one's brains out
beat up
because of
become of
before long
beg off
behind bars
behind sb.s back
behind the scenes
behind the times
believe in
belong to
bend over
bend over backwards
beneath one's dignit
beside oneself
beside the point
better off
beyond a doubt
beyond all question
beyond belief
beyond compare
beyond debate
beyond doubt
beyond measure
beyond one's wildest dreams
beyond question
beyond repair
bias against
bias toward
bit by bit
black and blue
blame for
blame on
blame sb.for
blame sb.for sth.
blame sth. on
blame sth. on sb.
blame sth. upon sb.
blame upon
blaze a trail
blind to
block in
block off
block up
blot out
blow up
board up
boast about
boast of
boid over
boil down to
boil over
book in
border on
both and
both…and
bounce back
bow out
box in
box inquire
branch out
break away
break away from
break down
break even
break in
break into
break off
break one's heart
break out
break sb.'s heart
break the ice
break through
break up
brim over with
bring about
bring around
bring back
bring down
bring down the house
bring forth
bring forward
bring home to
bring into being
bring into effect
bring into operation
bring into play
bring off
bring on
bring oneself to
bring out
bring round
bring sb. to grief
bring the house down
bring through
bring to
bring to justice
bring to life
bring to light
bring to one's knees
bring up
bring up the rear
bring…into operation
bring…to a conclusion
bristle with
brush aside
brush off
brush up
buck up
budget for
budget plan
build in
build into
build on
build up
build upon
bump into
bundle up
burn down
burn oneself out
burn out
burn up
burst into
burst on
burst out
burst upon
but for
but then
but then again
butt in
buy into
buy off
buy out
buy up
by accident
by all means
by analogy
by and by
by and large
by any chance
by any means
by appearances
by chance
by common consent
by comparison
by comparison with
by contrast
by courtesy of
by degrees
by error
by estimate
by far
by hand
by heart
by installments
by instinct
by itself
by leaps and bounds
by little and little
by means of
by mistake
by no means
by occasion of
by occupation
by profession
by reason of
by rights
by the book
by the by
by the same token
by the way
by tradition
by trial and error
by turns
by virtue of
by way of
call back
call for
call forth
call in
call in question
call into question
call it a day
call it a night
call off
call on
call out
call sb. in testimony
call up
call upon
calm down
came apart
campaign for
can not help
cannot but
cannot help
cannot help but
capability for
capable of
care for
care of
carry forward
carry into effect
carry off
carry on
carry out
carry over
carry through
carry weight
carve out
carve up
carve…into
carve…out from
carve…out of
cash down
cash in on
cast about
cast about for
cast around
cast around for
cast aside
cast light on
cast light upon
cast lots
cast off
cast out
cast round for
catch at
catch fire
catch hold of
catch on
catch one's breath
catch out
catch sb.s eye
catch sight of
catch the drift of an argument
catch up
catch up with
caution sb. against doing sth.
center around
center on
chance on
chance upon
change hands
change one's mind
change over
charge sb. with sth.
chase down
cheat on
check in
check on
check out
check up
check up on
cheer on
cheer up
chew over
chief referee
choke back
choke up
clamp down
clamp down on
clap eyes on
clasp hands
clasp one's hands
clean out
clean up
clear away
clear cut
clear off
clear up
cling to
close a business
close by
close down
close in on
close up
closet consultation
closet information
clutch at
clutch at sth.
coincide in
coincide with
cold closet
collaborate with
combat drought
come about
come across
come after
come along
come apart
come around
come at
come between
come by
come down
come down to
come in
come in for
come into
come into being
come into collision with
come into effect
come into fashion
come into force
come into one's own
come into operation
come into play
come off
come on
come out
come out with
come round
come through
come to
come to a close
come to a conclusion
come to a head
come to an end
come to blows
come to grief
come to grips with
come to life
come to light
come to no harm
come to one's senses
come to run into
come to terms
come to the climax
come true
come under
come up
come up against
come up for
come up to
come up with
comepare with
commend itself to
commission agent
commission merchant
commit a blunder
commit a crime
committed to
comparable to
compare notes
compare to
compatible with
compel sb. to do sth.
compensate for
compensate sb. for
compensation for
compensation trade
compete against
compete with
complain of doing sth.
complain that
complain to sb. about sth.
complain to sb. of sth.
complaint and claims
comply with
comprehensive knowledge
comprehensive mind
conceal from
conceal sth. from sb.
conceive of
conceive of…as
concentrate on
concern oneself about
concerned about
condemn sb. for sth.
condemn sb. to death
conduct a concert
conduct oneself badly
conduct oneself well
confer on
confer sth. on sb.
confer upon
confer with sb. about sth.
confer with sb. on sth.
confess doing
confess one's guilt
confide in
confine…to
confine…within
confirm a contract
confirm a theory
confirm one's belief
conflict with
conform to
confront difficulties
confront sb. with
congratulate on
consent to
consider as
consist in
consist of
consist with
consistent with
consolidate…into
constrain sb. to do
contend for
contend with
contrary to
contrast with
contrast…with
contribute to
contribute to doing sth.
contribute to sth.
contribute…to doing sth.
contribute…to sth.
converge on
convince sb. of sth.
cook up
cool down
cool off
coordinate one's efforts to
cope with
correlate with
correspond to
correspond with
couch in
couch potato
could not help
count against
count down
count for
count in
count on
count out
count up
count upon
courtesy of
cover for
cover up
crack down on
crack up
cram in
crash into
crawl with
crazy about
credit to
critical of
crop up
cross off
cross one's fingers
cross out
crowd in
crucial to
cry out
cry out for
culminate in
cure sb. of sth.
curl up
current English
cut across
cut back
cut corners
cut down
cut in
cut off
cut out
cut short
cut up
daily routine
dash off
date back
date back to
date from
dawn on
day and night
day off
deal in
deal with
debate on
debate upon
deceive into
deceive sb. into doing sth.
decide on
decide upon
dedicate to
deem highly of
defend against
defend doing
defend from
defer to
deliver of
deliver oneself of
deliver sb. from danger
deliver sth. to sb.
deny doing
deny one's guilt
deny oneself
deny sb. sth.
depart from
depend on
depend upon
dependence on
dependent on
dependent upon
deposit sth. with sb.
deprive of
deprive sb. of sth.
derive from
descend from
descend on
descend to doing sth.
descend to sth.
develop originality
deviate from
devote to
devote…to doing sth.
devote…to sth.
die away
die down
die for
die of
die out
different from
differentiate between
differentiate between…and
differentiate…from…
dig in
dig out
dig up
dine out
dip into
disable sb. from doing sth.
disappointed with
discourage sb. from doing sth.
discriminate against
discriminate between
discriminate between…and
discriminate…from
dish off
dish out
dispense with
display originality
dispose of
dissent from
distinguish between
do a bunk
do away with
do for
do harm to
do justice to
do one's best
do one's bit
do one's share
do one's utmost
do sb. a favor
do sb. a good turn
do sb. good
do the honors
do up
do with
do without
dole out
double up
down the drain
down with
doze off
drag on
drag out
draw a conclusion
draw a veil over
draw in
draw into
draw lots
draw on
draw one's pension
draw out
draw to a close
draw up
draw upon
dream of
dream up
dress up
drink in
drive at
drive away
drop away
drop by
drop in
drop off
drop out
drop up
drum up
dry out
dry up
due to
due to do
dwell on
dwell upon
each other
ease off
ease up
economical alliance
either or
either…or
elaborate on
embark on
embark upon
encourage sb. to do sth.
end in
end up
endow…with
enforce sth. on sb.
enforce sth. upon sb.
engage in
engine clutch
enjoy yourself
enroll sb. as
enroll sb. in
ensue from
ensure sb. against danger
ensure sb. from danger
enter into
enter on
enter upon
entitle sb. to do
entitle sb. to sth.
entitle to
envisage doing sth.
equal to
escape observation
escort sb. home
establish one's guilt
establish sb.'s guilt
even as
even if
even so
even though
ever so
every bit
every inch
every now and again
every now and then
every once in a while
every other
every so often
except for
exclusive of
exclusive to
execute a plan
execute a purpose
execute one's duties
execute one's office
exempt from
exile oneself to
exile sb. from
expect of
expel from
expenditure on education
expert in
explain away
exploit every opportunity
expose to
expose…to
face to face
face up to
fade away
fall apart
fall away
fall back
fall back on
fall back upon
fall behind
fall for
fall heir to
fall in love
fall in love with
fall in with
fall into a flutter
fall into the habit of
fall off
fall on
fall out
fall prey to
fall short of
fall through
fall to
fall under one's observation
fall under sb.'s observation
fall upon
far and wide
far from
feed on
feed upon
feed with
feel for
feel like
feel out
feel sympathy for
feel the pinch
fend off
fiddle about
fiddle around
fiddle round
fight back
fight off
figure out
file in
file out
fill in
fill in for
fill out
fill the bill
fill up
find a vent for
find fault with
find out
find out about
finish up
fire a salute of twenty-one guns
first and foremost
first of all
fish for
fit as a fiddle
fit in with
fit into
fix on
fix up
flare out
flare up
flatter oneself
flatter sb. about sth.
flatter sb. on sth.
flick through
fling oneself against
fling oneself into
fling oneself on
flush with
flushed with
fo in for
focus on
focus upon
foil sb. in doing sth.
foil sb. in sth.
foll around
follow one's nose
follow the example of
follow the fashion
follow through
follow up
fond of
fool about
fool around
fool round
for a start
for all
for any sake
for anything
for certain
for ever
for example
for fear
for fear of
for fear that
for free
for fun
for good
for good measure
for instance
for life
for nothing
for one thing
for one's part
for real
for sale
for sb.s sake
for short
for sth.s sake
for sure
for that matter
for the better
for the moment
for the present
for the record
for the sake of
for the time being
forget about
form the habit of
foster daughter
foster father
foster mother
foster son
foul up
free access
free from
free of
from one's heart
from scratch
from the bottom of one's heart
from the cradle to the grave
from time to time
full confirmation
function as
gain access to
gain an insight into
gain ground
gain momentum
gain on
gain upon
gamble away
gamble on
gasp at
gasp out
gather momentum
gear to
gear toward
gear towards
gear up
gear…to
gentle heart
gentle rain
gentle slope
gentle wind
get a move on
get about
get across
get ahead
get along
get along with
get around
get around to
get at
get away
get away with
get back at
get back to
get by
get clearance
get clearance for sth.
get down to
get down to business
get even with
get hold of
get in
get in sb.s hair
get in touch
get in with
get into
get into a jam
get into debt
get into hot water
get nowhere
get off
get off the ground
get on
get on one's nerves
get on sb.'s nerves
get on sb.s nerves
get on with
get out
get out of the way
get over
get ready
get rid of
get round
get round to
get the best of
get the better of
get through
get through with
get to grips with
get to know
get together
get up
get used to doing sth.
give a donation
give a promise
give a salute
give a tremendous performance
give a tug
give access to
give away
give back
give birth to
give first rank to
give free rein to
give in
give in one's resignation
give in to
give off
give one's regards to
give one's respects to
give out
give over to
give rise to
give sb. an assurance that
give scope for
give scope to
give up
give vent to
give way
given to
glance through
glimpse at
glow with enthusiasm
glow with pride
go about
go about with
go after
go against
go ahead
go all out
go along
go along with
go around
go at
go away
go away from
go back on
go behind bars
go by
go down
go for
go from bad to worse
go halves
go in for
go into
go into detail
go into details
go into effect
go into operation
go off
go on
go on an expedition
go out
go out of business
go out of one's way
go over
go round
go the rounds
go the rounds of
go through
go through with
go to bed
go to bend
go to court
go to extremes
go to great lengths
go to one's doom
go to pieces
go under
go up
go wild
go with
go with the current of the times
go without
go without saying
go wrong
golden opportunity
good and
good fellowship
government bulletin
grab at
grease one's palm
grin and bear it
grind on
grind out
grope for
grope one's way
grow into
grow on
grow out
grow out of
grow up
guard against
hack into
hack through
had better
had rather
had rather than
had rather…
had rather…than
had sonner…
had sonner…than
had sooner
had sooner…than
hail from
hammer away at
hammer out
hamper sb. from doing sth.
hamper sb. from sth.
hand back
hand down
hand in
hand in hand
hand in one's resignation
hand on
hand out
hand over
hang about
hang around
hang by a thread
hang in there
hang on
hang on to
hang round
hang together
hang up
hang upon
hardly when
hardly…when
harp on
harp upon
have a bearing on
have a fling
have a good time
have a great tug to persuade sb.
have a hand in
have a notion that
have a reputation for
have a stroke
have a thing about
have access to
have an effect on
have an insight into
have an interest in
have an irresistible impulse to do sth.
have faith in
have in mind
have influence on
have it in for
have much to contend with
have no alternative but to do
have no business doing sth.
have no business to do sth.
have no concern with
have no interest in
have no notion of
have no scent for
have on
have one's appendix out
have one's hands full
have respect for
have sth. to do with
have sympathy for
have the best of
have the better of
head for
head on
head over heels
heap on
heap scorn on
heap upon
hear about
hear from
hear of
help out
here and now
here and there
hide sth. from sb.
hinder sb. from doing sth.
hinge on
hinge upon
hit back
hit on
hit upon
hold a farewell entertainment
hold a patent on
hold back
hold down
hold fast to
hold forth
hold in contempt
hold off
hold on
hold on to
hold one's breath
hold one's own
hold out
hold over
hold sb. to ransom
hold together
hold up
hold with
hook up
how about
how come
hue and cry
hum with
hung up
hunger after
hunger for
hurry up
hush up
ideal for
identical with
identify oneself with
idle about
idle away
if only
ignorant of
immerse in
immune from
immune to
impose a fine on sb.
impose a fine upon sb.
impose on
impose oneself on sb.
impose oneself upon sb.
impose sth. on sb.
impose sth. upon sb.
impose upon
impress sb. with
impress sth. on one's ｍind
impress sth. upon one's ｍind
impress with
impression on
improve on
improve upon
in a blaze
in a cluster
in a dilemma
in a flutter
in a hurry
in a manner of speaking
in a mess
in a pinch
in a row
in a rut
in a sense
in a way
in a word
in abundance
in accord with
in accordance with
in acknowledgement of
in addition
in addition to
in advance
in agreement with
in all
in all conscience
in all probability
in alliance with
in answer to
in any case
in any event
in as far as
in back of
in behalf of
in between
in black and white
in blossom
in brief
in bud
in bulk
in business
in case
in case of
in character
in charge
in charge of
in check
in chorus
in cold blood
in collaboration with
in collision with
in common
in comparison
in comparison with
in concert
in conclusion
in confidence
in confirmation of
in conflict with
in conformity with
in conjunction with
in connection with
in conscience
in consequence
in consequence of
in consideration of
in contradiction with
in contrast
in contrast to
in contrast with
in control
in control of
in debt
in debt to
in default of
in defiance of
in demand
in depth
in detail
in disgrace
in disguise
in disorder
in dispute
in disregard of
in doubt
in due course
in duplicate
in earnest
in eclipse
in effect
in error
in essence
in evidence
in excess of
in fact
in faith
in fashion
in favor of
in file
in flank
in force
in front of
in full
in full blossom
in full swing
in future
in gear
in general
in good conscience
in good faith
in good shape
in great force
in half
in hand
in harmony
in harmony with
in haste
in hell
in honor of
in hot pursuit
in installments
in itself
in kind
in league
in league with
in leaps and bounds
in light of
in line
in line with
in luck
in memory of
in mortgage
in no case
in no time
in no way
in one's clutches
in one's debt
in one's heart of hearts
in one's mind's eye
in one's own right
in one's presence
in one's shoes
in operation
in order
in order that
in order to
in order to do
in other words
in part
in particular
in payment for
in person
in place
in place of
in practice
in print
in private
in proportion to
in public
in quantity
in quest for
in quest of
in question
in reality
in reference to
in regard to
in relation to
in reserve
in response to
in retrospect
in return
in return for
in reverse
in ruins
in sb.'s clutches
in sb.'s debt
in sb.'s presence
in sb.'s shoes
in sb.s debt
in sb.s hands
in sb.s presence
in sb.s shoes
in search of
in season
in secret
in sequence
in sequence of
in shape
in short
in short order
in sight
in so far as
in spite of
in step
in step with
in stock
in store
in strength
in succession
in sum
in summary
in support of
in sympathy with
in tears
in terms of
in that
in the abstract
in the act of
in the aggregate
in the air
in the balance
in the behalf of
in the bud
in the circumstances
in the context of
in the course of
in the cradle
in the distance
in the end
in the end of
in the event
in the event of
in the event that
in the extreme
in the face of
in the first instance
in the first place
in the flesh
in the future
in the habit of
in the interest of
in the interests of
in the interim
in the interim out of tune
in the interim out of tune with
in the light of
in the long run
in the main
in the middle of
in the midst of
in the mood for
in the name of
in the neighborhood of
in the open
in the proximity of
in the raw
in the red
in the region of
in the right
in the same vein
in the short run
in the vicinity
in the vicinity of
in the wake of
in the way
in the wind
in the wings
in the world
in the wrong
in time
in token of
in total
in touch
in touch with
in tow
in transit
in transition
in trouble
in truth
in tune
in tune with
in turn
in use
in vain
in view of
in vogue
incapable of
incompatible with
incorporate in
incorporate into
incorporate with
indifferent to
indulge in
inferior by comparison
inferior to
inflict on
inflict sth. on sb.
inflict sth. upon sb.
influence on
inform against sb.
inform of
inform on sb.
inform sb. of sth.
inhibit sb. from doing sth.
initiate…into
inject sb. with
inject sth. into sb.
inquire after
inquire into
inquiry into
inside facts
inside out
insight into
insist on
insist upon
inspire sb. with sth.
inspire sth. into sb.
instead of
instruct sb. in sth.
insurance against
int one's way
int sb.'s way
intent on
intent upon
interfere in
interfere in one's private affairs
interfere in sb.'s private affairs
interfere with
interpret for
interpret…as
intervene between
intervene in
introduce the budget
introduce to
invest in
iron out
irrespective of
jet lag
jog sb.s memory
join hands
join in
join up
join up with
jump a queue
jump the queue
just about
just as well
just now
keen on
keep a secret
keep abreast of
keep an eye on
keep at
keep at a distance
keep away from
keep back
keep clear
keep down
keep from
keep house
keep in contact
keep in mind
keep in touch
keep off
keep on
keep one's eyes open
keep one's fingers crossed
keep one's head
keep one's own counsel
keep one's promise
keep pace
keep pace with
keep sb. company
keep to
keep track of
keep up
keep up with
keep…informed
keep…under close observation
keep…under observation
key in
key to
kick in
kick off
kick out
kick up
kill two birds with one stone
kind of
knock about
knock around
knock down
knock off
knock on
knock out
knock over
know better
know better than
knuckle under
labor intensity
lack of
lack originality
lag behind
lap up
lash out at
later on
laugh at
laugh off
launch a new enterprise
launch an artificial satellite
launch an attack
launch into
launch out
launch out into
lay aside
lay claim to
lay down
lay off
lay on
lay out
lay over
lay up
lead to
lead up to
leaf through
lean on
learn about
learn of
lease sth. from sb.
lease sth. to sb.
least of all
leave alone
leave behind
leave off
leave office
leave out
leave sb. alone
leave sb. to his own devices
leave to one's option
lend itself to
lend sb. a hand
let alone
let along
let an opportunity slip
let down
let go
let go of
let in
let off
let out
let slip
let up
level off
level out
liable to
liable to do
lie behind
lie down
lie in
light on
light up
like a shot
like crazy
like hell
like mad
limit…to
line up
linger on
linger over one's work
link up
listen to
little by little
live a lie
live in exile
live in misery
live off
live on
live out
live through
live up to
live with
liveａmiserable life
lock in
lock up
log in
log out
long for
look after
look ahead
look around
look as
look at
look back
look back on
look down on
look down upon
look for
look forward to
look in
look into
look like
look on
look out
look out for
look over
look over one's shoulder
look round
look sth. up
look through
look to
look up
look up to
look upon
lose faith in
lose heart
lose one's head
lose one's temper
lose oneself in
lose popularity
lose sight of
lose track of
lots of
maintain one's famil
maintain oneself
maintain…onto
major in
make a claim for
make a claim for damages
make a conclusion
make a confession
make a difference
make a donation
make a fool of
make a fuss of
make a fuss over
make a good appearance
make a mock of sb.
make a mock of sth.
make a plea for
make a pledge
make a point of
make a promise
make a proposal
make a proposal of marriage
make a resolution
make a salute
make a thing of
make a thing out of
make a visit to
make allowance for
make allowances for
make an appearance
make an estimate of
make an example of
make an exhibition of oneself
make an expedition to
make believe
make comments on sth.
make compensation for one's losses
make compensation for sb.'s losses
make drastic change
make for
make friends
make friends with
make fun of
make game of
make history
make inquiries of sb. about sth.
make into
make it
make mention of
make no bones about
make of
make off
make off with
make one's option
make one's way
make out
make peace
make provision for
make reference to
make sb.s hair stand on end
make sense
make sure
make the best of
make the grade
make the most of
make up
make up for
make up one's mind
make use of
make way
make ａfortune
many a
map out
mark down
mark off
mark up
marshal arguments
marshal soldiers
marvel at
mass observation
match against
match with
may as well
mean business
measure up
meet with
menaced with
menace…with
mend one's ways
merits and faults
mess about
mess around
mess up
mess with
minor in
miss out
mistake for
mix up
mock at sb.
mock at sth.
monopoly bureau
monopoly of sales
monopoly right
mop up
more and more
more often than not
more or less
move about
move around
move away
move in on
move on
move up
mow down
much as
much less
nail down
neglect one's duties
neglect one's meals and sleep
neither here nor there
neither nor
neither…nor
never mind
news bulletin
next to
night and day
no doubt
no end
no less than
no longer
no matter how
no matter what
no matter when
no matter where
no matter whether…or
no matter which
no matter who
no more than
no more…than
no other than
no sonner than
no sonner…than
no sooner than
no sooner…than
no way
no wonder
nominal chairman
none but
none other than
none too
nose about
nose around
nose out
nose out of joint
nose round
not any more than
not at all
not have a leg to stand on
not in the least
not only but
not only but also
not only…but
not only…but also
not only…but also…
not so much as
not so much…as
not so much…as…
not to be sneezed at
not to mention
nothing but
nothing else than
nothing more than
not…any more than
now and again
now and then
now that
nowhere near
object to
objection to
observe sb. do sth.
observe sb. doing sth.
occur to
odds and ends
of a kind
of a sort
of course
of necessity
of no account
of no avail
of one's own accord
of sort
of sorts
of the essence
off and on
off balance
off duty
off guard
off one's guard
off the air
off the cuff
off the hook
off the record
offer a bribe
offer proposals for
offer proposals of
offer sth. as a guarantee
on a budget
on a diet
on a large
on account of
on all account
on an average
on and off
on and on
on any account
on approval
on average
on a…scale
on behalf of
on board
on business
on condition
on condition that
on cue
on demand
on duty
on earth
on edge
on end
on file
on fire
on foot
on grounds of
on guard
on hand
on impulse
on instinct
on line
on loan
on mortgage
on no account
on oath
on occasion
on occasions
on one hand
on one's conscience
on one's guard
on one's honor
on one's oath
on one's own
on order
on our guard
on paper
on penalty of
on purpose
on receipt of
on record
on sale
on schedule
on short notice
on sight
on that score
on the air
on the alert
on the analogy of
on the average
on the behalf of
on the blink
on the brink of
on the button
on the confines of
on the contrary
on the edge of
on the fence
on the go
on the grounds of
on the horizon
on the hour
on the house
on the increase
on the job
on the lookout
on the move
on the occasion of
on the one hand
on the other hand
on the part of
on the plea of
on the point of
on the quiet
on the record
on the road to
on the run
on the shelf
on the side
on the sky
on the sly
on the sneak
on the spot
on the spur of the moment
on the strength of
on the table
on the threshold of
on the trot
on the verge of
on the watch
on the watch for
on the whole
on thin ice
on time
on top
on top of
on tow
once again
once and for all
once for all
once in a while
once more
once upon a time
one after another
one another
one by one
one day
one way or another
one's attitude to
one's attitude towards
only too
open up
operate on
opposed to
or else
or so
or something
originate from
originate in
other than
ought to
out of
out of breath
out of character
out of condition
out of context
out of control
out of date
out of doors
out of fashion
out of hand
out of joint
out of line
out of luck
out of one's depth
out of order
out of place
out of pocket
out of practice
out of print
out of question
out of season
out of sight
out of sorts
out of spite
out of step
out of stock
out of style
out of the blue
out of the ordinary
out of the question
out of the way
out of touch
out of touch with
out of tune
out of tune with
out of use
out of work
outside of
over and above
over and over
over and over again
over one's head
over sb.s head
overcome difficulties
overcome one's shortcomings
owe obligations to
owe to
owing to
own up
pack away
pack in
pack off
pack up
palm off
pant for
part company
part company with
part with
participate in
particular about
pass away
pass by
pass off as
pass on
pass one's verdict upon
pass out
pass over
pass sb. off as
pass sth. off as
pass through
pass up
pat sb. on the back
patient with
pattern oneself after
pattern sth. on
pattern sth. upon
pay attention to
pay back
pay no attention to
pay off
pay out
pay up
peck at
peel off
peg away at
peg sb. down
penalty area
penalty kick
pension sb. off
people of all ranks
per cent
persist in
pertain to
phase in
phase out
pick at
pick on
pick out
pick sb.s brains
pick to pieces
pick up
pie in the sky
pile in
pile up
pin down
pine away
pine for
pitch in
place a high premium on
place a mortgage on
place a premium on
place sth. on the agenda
plan on
play a part in
play at
play back
play down
play havoc with
play it safe
play off
play off against
play on
play out
play safe
play second fiddle to
play up
play upon
play with fire
plead against
plead with
plug away
plug away at
plug in
plump for
point out
poke about
poke around
poke fun at
poke one's nose into
poke round
poles apart
polish off
pop up
populor with
pour into
pour out
pour scorn on
prefer to
preferable to
preliminary remarks
presence of mind
preside over
press on
press sth. on sb.
presume on
presume upon
prevail on
prevail over
prevail upon
previous to
prey on
prick up one's ears
prior to
proceed to do sth.
proceed with sth.
produce testimony of
produce testimony to
profit by
profit from
prohibit from
prone to
prone to do
prop up
protest against
protest against sth.
proud of
prove one's guilt
prove sb.'s guilt
provide for
provide with
provided that
provision for
provisional agenda
puff out
puff up
pull apart
pull away
pull down
pull in
pull off
pull one's leg
pull one's weight
pull out
pull over
pull sb.s leg
pull through
pull to pieces
pull together
pull up
push about
push around
push on
push through
put a high premium on
put a premium on
put across
put an end to
put aside
put away
put behind bars
put down
put forward
put in
put in a good word for
put in a word for
put into effect
put into operation
put into practice
put off
put on
put one's heads together
put out
put over
put sth. on the agenda
put the screw on
put the screws down
put the screws on
put through
put to death
put to use
put up
put up with
put…into circulation
put…into operation
puzzle out
qualified for
quarrel with
queue up
quite a few
rack one's brains
rack with
rail against
rail at
rake in
rake up
range over
rank among
rank…as
rather than
rattle off
rattle on
reach a conclusion
reach a plateau
reach the climax
react against
read between the lines
read out
reckon in
reckon on
reckon upon
reckon with
reconcile oneself to
reconcile to
reconcile with
reconciled to
reconcile…with
red alert
reel off
refer to
refer to as
refer to sb. as
refer to sth. as
refer to…as…
regard as
regarded as
regardless of
regard…as
register for
rein in
relate to
relative to
relevant to
rely on
rely upon
remember to
renew one's youth
renew the heart and mind
require of
resent doing sth.
resent sth.
reside in
resign from
resign one's position
resign oneself to
resign oneself to extinction
resign oneself to one's fate
resist to
resistant to
resolve on doing sth.
